@RELATION char_6

@ATTRIBUTE char    REAL
@ATTRIBUTE class    {+1, -1}

@DATA
2.27472374283e-06,+1
1.46176980838e-05,+1
2.28499658032e-06,+1
7.34263348523e-06,+1
1.58837983577e-06,+1
2.51856215487e-06,+1
3.3188777181e-06,+1
1.66755976165e-06,+1
5.06711347402e-06,+1
2.22389353045e-06,+1
1.04285978164e-05,+1
1.6895334756e-06,+1
6.06184757091e-06,+1
6.62733155749e-06,+1
1.04533477731e-05,+1
4.83298052328e-06,+1
9.09883333971e-06,+1
1.75644814468e-06,+1
2.89590088312e-06,+1
3.05711897807e-06,+1
9.90332791472e-06,+1
2.47268535118e-06,+1
5.44684871618e-06,+1
2.58046206792e-06,+1
3.46201265118e-06,+1
3.57238341792e-06,+1
2.30498684653e-06,+1
4.17395152149e-06,+1
6.43197549228e-07,+1
4.39986108442e-06,+1
3.02568467361e-06,+1
8.52709479452e-06,+1
1.87634833099e-05,+1
3.82642607557e-06,+1
4.19509675856e-06,+1
6.38349339836e-06,+1
1.62428120555e-06,+1
1.15789899297e-05,+1
3.21807695896e-06,+1
7.80774945358e-06,+1
5.03725993286e-06,+1
3.35562608173e-06,+1
3.30450249259e-06,+1
3.93097406934e-06,+1
5.4327499363e-06,+1
4.24686766841e-06,+1
3.75090525513e-06,+1
9.66440122566e-06,+1
4.87257160435e-06,+1
1.24725366714e-06,+1
3.4508221412e-06,+1
4.24162300485e-06,+1
3.12300924721e-06,+1
3.19648741862e-06,+1
1.10075534869e-05,+1
3.45431496983e-06,+1
2.78338177907e-06,+1
5.77889961261e-06,+1
4.97751838773e-06,+1
4.70051265162e-06,+1
5.86620697529e-06,+1
3.310335243e-06,+1
9.88404565047e-06,+1
3.91095966418e-06,+1
1.02176181073e-05,+1
3.62017783731e-06,+1
2.01120214635e-05,+1
8.32921371877e-06,+1
5.91477501737e-06,+1
2.67661825452e-06,+1
7.85608843309e-06,+1
1.66650593114e-06,+1
3.74930237488e-06,+1
2.79818808844e-06,+1
4.70986218554e-06,+1
1.38968902269e-06,+1
2.37003408005e-06,+1
1.56969725793e-06,+1
3.11871469494e-06,+1
5.02112456149e-06,+1
3.99946293777e-06,+1
7.59696753949e-06,+1
2.5678298995e-06,+1
4.39092245166e-06,+1
3.89531517977e-06,+1
1.17788634582e-06,+1
4.33094658952e-06,+1
6.94829362581e-06,+1
4.93872579219e-06,+1
4.13540194748e-06,+1
2.35995553514e-06,+1
1.09348804671e-05,+1
6.05711862867e-06,-1
1.32776508004e-06,-1
3.22562242577e-06,-1
6.05711862867e-06,-1
2.60339967254e-06,-1
3.4213829571e-06,-1
3.50862184655e-06,-1
6.05711862867e-06,-1
2.80877617545e-06,-1
6.05711862867e-06,-1
6.05711862867e-06,-1
1.3544442588e-06,-1
1.1073363032e-06,-1
1.23436069034e-06,-1
2.02652234615e-06,-1
7.30752503375e-06,-1
1.86374903169e-06,-1
1.89631615954e-06,-1
2.08587321645e-06,-1
5.73367968062e-06,-1
6.05711862867e-06,-1
1.27199147572e-06,-1
2.05414324849e-06,-1
1.37781027491e-06,-1
2.05168021868e-06,-1
9.19684398716e-07,-1
1.69409039582e-06,-1
1.01828674653e-06,-1
1.66727776302e-06,-1
1.7787467303e-06,-1
9.04746858144e-06,-1
5.25331571565e-06,-1
4.2536253602e-06,-1
1.23874973214e-06,-1
1.70968785984e-06,-1
1.54067951727e-06,-1
1.71233234993e-06,-1
2.03793174123e-06,-1
2.37906508652e-06,-1
1.23175606792e-06,-1
2.4339408431e-06,-1
2.17538306803e-06,-1
1.76259344284e-06,-1
6.03034265292e-06,-1
2.4217704836e-06,-1
2.93666578738e-06,-1
6.05711862867e-06,-1
6.05711862867e-06,-1
1.42311122126e-06,-1
1.01068255697e-06,-1
2.44716281531e-06,-1
1.76404014283e-06,-1
2.03791332951e-06,-1
6.05711862867e-06,-1
1.59046070004e-06,-1
6.05711862867e-06,-1
1.57896810297e-06,-1
1.49386428011e-06,-1
6.05711862867e-06,-1
1.41507715451e-06,-1
6.05711862867e-06,-1
1.18614230981e-06,-1
1.90366582308e-06,-1
4.51763994216e-06,-1
6.05711862867e-06,-1
2.78387878952e-06,-1
1.41528532078e-06,-1
2.20169480487e-06,-1
9.98614953274e-07,-1
6.05711862867e-06,-1
1.14785389921e-06,-1
4.1154460672e-06,-1
1.76259192556e-06,-1
1.45259956599e-06,-1
3.42130592556e-06,-1
6.44346444279e-06,-1
4.51771131763e-06,-1
1.4873568054e-06,-1
1.11176785619e-06,-1
2.16528370928e-06,-1
4.95385065986e-06,-1
2.82458048063e-06,-1
2.35303820255e-06,-1
1.34611999664e-06,-1
3.12023645982e-06,-1
2.43440745172e-06,-1
2.22468735163e-06,-1
1.57922190899e-06,-1
5.72836111588e-06,-1
1.8094258475e-06,-1
1.05087018983e-06,-1
1.88686374226e-06,-1
5.72836111588e-06,-1
1.91080530771e-06,-1
5.72836111588e-06,-1
5.72836111588e-06,-1
1.74866678206e-06,-1
1.56469539264e-06,-1
4.02628292652e-06,-1
1.423165244e-06,-1
1.71581261511e-06,-1
1.32658329095e-06,-1
5.72836111588e-06,-1
1.71989133571e-06,-1
9.23163590219e-07,-1
2.57126502632e-06,-1
2.25050792165e-06,-1
1.6712976804e-06,-1
1.64563425285e-06,-1
1.44934738142e-06,-1
1.3551213106e-06,-1
1.39847229565e-06,-1
3.30499249542e-06,-1
2.19499026933e-06,-1
1.38807264183e-06,-1
2.81104256834e-06,-1
1.31754897837e-06,-1
5.73465796415e-06,-1
5.72836111588e-06,-1
1.2925543471e-06,-1
1.71594910724e-06,-1
5.72836111588e-06,-1
1.49458670508e-06,-1
1.79500554876e-06,-1
4.77235767338e-06,-1
3.0814232499e-06,-1
5.72836111588e-06,-1
5.72836111588e-06,-1
6.31139323564e-06,-1
1.09907501088e-06,-1
2.22437512082e-06,-1
2.09656637363e-06,-1
1.17039528768e-06,-1
2.05965031002e-06,-1
1.92739200206e-06,-1
5.72836111588e-06,-1
2.93098585684e-06,-1
5.72836111588e-06,-1
1.5852327725e-06,-1
1.71582663818e-06,-1
3.22099450401e-06,-1
1.3242809329e-06,-1
1.95431221019e-06,-1
5.72836111588e-06,-1
3.96869454392e-06,-1
2.60950601448e-06,-1
5.72836111588e-06,-1
1.50896066143e-06,-1
1.61472996981e-06,-1
1.64359842477e-06,-1
2.3834079236e-06,-1
1.1841121547e-06,-1
1.51908101724e-06,-1
2.1949561342e-06,-1
9.37501162024e-07,-1
2.34999847144e-06,-1
2.81900340911e-06,-1
2.15120301971e-06,-1
3.23447363781e-06,-1
5.72836111588e-06,-1
5.72836111588e-06,-1
2.95965613647e-06,-1
2.56894945461e-06,-1
2.33948332166e-06,-1
3.9687251874e-06,-1
4.13474273954e-06,-1
5.72836111588e-06,-1
1.20834599256e-06,-1
2.84953817359e-06,-1
3.15920692268e-06,-1
5.72836111588e-06,-1
